order_id,order_date,customer_id,customer_segment,region,sales_channel,category,product_name,unit_price,quantity,discount_pct,discount_amount,revenue,shipping_cost,total_amount,payment_method,order_status,customer_rating,year,month,quarter,month_name,day_of_week,is_weekend,is_q4,profit,revenue_bucket,pipeline_run_ts,data_source
ORD000027,2024-04-12,CUST02543,Premium,South,Marketplace,Electronics,Tablet,564.69,1,0,0.0,564.69,0.0,564.69,Debit Card,Cancelled,1.1,2024,4,2,Apr,Friday,False,False,197.64,$500-1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000028,2023-05-24,CUST01093,New,North,Website,Beauty & Personal Care,Perfume,118.45,1,10,11.85,106.6,0.0,106.6,Credit Card,Cancelled,1.6,2023,5,2,May,Wednesday,False,False,37.31,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000029,2023-01-31,CUST01633,Returning,North,Social Media,Books,Textbook,29.97,3,0,0.0,89.91,0.59,90.5,Paypal,Delivered,4.0,2023,1,1,Jan,Tuesday,False,False,31.47,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000030,2023-06-28,CUST00157,New,West,Website,Beauty & Personal Care,Sunscreen,53.02,1,20,10.6,42.42,6.53,48.95,Paypal,Delivered,5.0,2023,6,2,Jun,Wednesday,False,False,14.85,<$50,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000031,2024-06-12,CUST00007,Returning,Central,Mobile App,Electronics,Headphones,2253.79,1,0,0.0,2253.79,0.0,2253.79,Debit Card,Delivered,3.1,2024,6,2,Jun,Wednesday,False,False,788.83,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000032,2023-09-08,CUST02078,Returning,West,Website,Beauty & Personal Care,Perfume,95.36,2,0,0.0,190.72,0.0,190.72,Paypal,Delivered,3.4,2023,9,3,Sep,Friday,False,False,66.75,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000033,2023-09-09,CUST01664,Returning,North,Website,Beauty & Personal Care,Lipstick,103.21,4,10,41.28,371.56,0.0,371.56,Debit Card,Delivered,4.2,2023,9,3,Sep,Saturday,True,False,130.05,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000034,2022-12-14,CUST02699,New,Central,Mobile App,Beauty & Personal Care,Perfume,72.42,1,0,0.0,72.42,11.83,84.25,Crypto,Delivered,4.6,2022,12,4,Dec,Wednesday,False,True,25.35,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000035,2022-04-05,CUST01003,Vip,Central,Marketplace,Clothing,Boots,103.47,3,0,0.0,310.41,0.0,310.41,Credit Card,Delivered,4.8,2022,4,2,Apr,Tuesday,False,False,108.64,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000036,2022-10-30,CUST02688,Returning,North,Marketplace,Sports & Outdoors,Dumbbells,577.49,1,0,0.0,577.49,0.0,577.49,Debit Card,Delivered,4.9,2022,10,4,Oct,Sunday,True,True,202.12,$500-1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000037,2024-08-09,CUST02735,Returning,Central,Mobile App,Sports & Outdoors,Bicycle,49.67,1,20,9.93,39.74,11.41,51.15,Bank Transfer,Delivered,4.4,2024,8,3,Aug,Friday,False,False,13.91,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000038,2024-08-30,CUST01844,New,South,Marketplace,Sports & Outdoors,Bicycle,666.15,2,20,266.46,1065.84,0.0,1065.84,Paypal,Returned,2.3,2024,8,3,Aug,Friday,False,False,373.04,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000039,2023-10-17,CUST02213,New,South,Website,Beauty & Personal Care,Shampoo,44.82,1,0,0.0,44.82,6.79,51.61,Debit Card,Delivered,3.1,2023,10,4,Oct,Tuesday,False,True,15.69,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000040,2022-02-10,CUST02359,Returning,North,Social Media,Books,Textbook,47.07,1,0,0.0,47.07,10.5,57.57,Paypal,Returned,3.1,2022,2,1,Feb,Thursday,False,False,16.47,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000041,2023-03-28,CUST02000,New,West,Mobile App,Books,Science,61.82,2,10,12.36,111.28,0.0,111.28,Bank Transfer,Delivered,4.4,2023,3,1,Mar,Tuesday,False,False,38.95,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000042,2022-02-25,CUST01614,Returning,North,Website,Books,History,19.88,1,0,0.0,19.88,15.56,35.44,Bank Transfer,Delivered,3.9,2022,2,1,Feb,Friday,False,False,6.96,<$50,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000043,2024-02-16,CUST01140,Premium,West,Website,Electronics,Tablet,978.8,1,0,0.0,978.8,0.0,978.8,Credit Card,Delivered,4.5,2024,2,1,Feb,Friday,False,False,342.58,$500-1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000044,2022-03-24,CUST00128,Vip,South,Marketplace,Electronics,Tablet,599.34,1,30,179.8,419.54,0.0,419.54,Crypto,Delivered,3.3,2022,3,1,Mar,Thursday,False,False,146.84,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000045,2022-12-10,CUST02482,Returning,North,Marketplace,Beauty & Personal Care,Moisturizer,86.78,1,10,8.68,78.1,19.17,97.27,Debit Card,Pending,1.3,2022,12,4,Dec,Saturday,True,True,27.33,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000046,2023-02-11,CUST00312,Returning,South,Website,Electronics,Tablet,1460.7,4,0,0.0,5842.8,0.0,5842.8,Paypal,Cancelled,2.5,2023,2,1,Feb,Saturday,True,False,2044.98,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000047,2024-05-27,CUST02710,Returning,Central,Mobile App,Electronics,Speaker,2460.42,3,0,0.0,7381.26,0.0,7381.26,Credit Card,Returned,3.1,2024,5,2,May,Monday,False,False,2583.44,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000048,2022-11-10,CUST01784,New,Central,Social Media,Electronics,Headphones,2403.93,2,20,961.57,3846.29,0.0,3846.29,Paypal,Delivered,4.8,2022,11,4,Nov,Thursday,False,True,1346.2,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000049,2022-06-27,CUST01143,Premium,South,Marketplace,Books,Biography,39.36,2,0,0.0,78.72,21.29,100.01,Crypto,Delivered,3.8,2022,6,2,Jun,Monday,False,False,27.55,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000050,2023-06-14,CUST01395,New,Central,Mobile App,Electronics,Headphones,2134.83,1,0,0.0,2134.83,0.0,2134.83,Paypal,Delivered,4.0,2023,6,2,Jun,Wednesday,False,False,747.19,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000051,2024-09-02,CUST02646,Premium,West,Marketplace,Clothing,T-Shirt,83.79,1,10,8.38,75.41,6.01,81.42,Credit Card,Delivered,3.8,2024,9,3,Sep,Monday,False,False,26.39,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000052,2023-12-06,CUST01743,Vip,Central,Website,Clothing,Jacket,204.23,1,10,20.42,183.81,0.0,183.81,Bank Transfer,Delivered,3.5,2023,12,4,Dec,Wednesday,False,True,64.33,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000053,2023-01-15,CUST00785,New,West,Website,Electronics,Camera,521.83,1,5,26.09,495.74,0.0,495.74,Crypto,Pending,2.3,2023,1,1,Jan,Sunday,True,False,173.51,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000054,2023-09-12,CUST00058,Premium,South,Website,Home & Kitchen,Blender,419.66,1,0,0.0,419.66,0.0,419.66,Credit Card,Delivered,4.4,2023,9,3,Sep,Tuesday,False,False,146.88,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000055,2023-08-06,CUST01923,Returning,East,Website,Clothing,Boots,262.51,1,20,52.5,210.01,0.0,210.01,Credit Card,Delivered,4.7,2023,8,3,Aug,Sunday,True,False,73.5,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000056,2022-04-20,CUST00622,New,Central,Social Media,Electronics,Speaker,210.09,1,10,21.01,189.08,0.0,189.08,Credit Card,Pending,1.3,2022,4,2,Apr,Wednesday,False,False,66.18,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000057,2024-06-25,CUST01218,Premium,West,Website,Books,Science,50.92,2,15,15.28,86.56,9.51,96.07,Crypto,Delivered,4.9,2024,6,2,Jun,Tuesday,False,False,30.3,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000058,2022-11-18,CUST00983,New,North,Website,Electronics,Speaker,559.08,1,10,55.91,503.17,0.0,503.17,Bank Transfer,Delivered,4.2,2022,11,4,Nov,Friday,False,True,176.11,$500-1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000059,2024-07-18,CUST00292,Returning,East,Marketplace,Home & Kitchen,Blender,131.11,2,15,39.33,222.89,0.0,222.89,Crypto,Delivered,4.9,2024,7,3,Jul,Thursday,False,False,78.01,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000060,2022-05-27,CUST00245,New,East,Mobile App,Books,Fiction Novel,47.21,2,25,23.61,70.81,20.67,91.48,Crypto,Cancelled,2.1,2022,5,2,May,Friday,False,False,24.78,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000061,2024-06-15,CUST00330,Returning,West,Mobile App,Books,History,29.89,1,0,0.0,29.89,13.5,43.39,Crypto,Delivered,3.2,2024,6,2,Jun,Saturday,True,False,10.46,<$50,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000062,2022-03-24,CUST00718,Returning,West,Social Media,Beauty & Personal Care,Sunscreen,90.13,1,15,13.52,76.61,20.54,97.15,Debit Card,Pending,2.1,2022,3,1,Mar,Thursday,False,False,26.81,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000063,2022-11-26,CUST01351,Returning,West,Website,Books,Fiction Novel,41.84,1,0,0.0,41.84,2.61,44.45,Bank Transfer,Returned,2.4,2022,11,4,Nov,Saturday,True,True,14.64,<$50,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000064,2024-11-19,CUST00005,Returning,Central,Mobile App,Books,Fiction Novel,30.65,1,30,9.2,21.45,10.1,31.55,Credit Card,Delivered,3.7,2024,11,4,Nov,Tuesday,False,True,7.51,<$50,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000065,2023-08-13,CUST01795,Premium,West,Website,Books,History,39.83,1,0,0.0,39.83,3.28,43.11,Crypto,Returned,2.8,2023,8,3,Aug,Sunday,True,False,13.94,<$50,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000066,2022-08-21,CUST01891,Vip,South,Mobile App,Home & Kitchen,Cookware Set,26.56,1,0,0.0,26.56,21.04,47.6,Paypal,Delivered,3.5,2022,8,3,Aug,Sunday,True,False,9.3,<$50,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000067,2024-11-06,CUST00560,Premium,East,Marketplace,Books,Biography,25.55,2,0,0.0,51.1,23.05,74.15,Bank Transfer,Delivered,4.6,2024,11,4,Nov,Wednesday,False,True,17.88,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000068,2024-09-29,CUST00609,Returning,West,Website,Home & Kitchen,Blender,155.76,1,10,15.58,140.18,0.0,140.18,Crypto,Returned,1.9,2024,9,3,Sep,Sunday,True,False,49.06,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000069,2024-04-21,CUST00179,Returning,West,Mobile App,Home & Kitchen,Coffee Maker,490.77,1,0,0.0,490.77,0.0,490.77,Bank Transfer,Delivered,4.3,2024,4,2,Apr,Sunday,True,False,171.77,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000070,2022-07-25,CUST01804,New,West,Website,Beauty & Personal Care,Shampoo,76.82,1,5,3.84,72.98,14.75,87.73,Debit Card,Delivered,4.3,2022,7,3,Jul,Monday,False,False,25.54,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000071,2024-03-25,CUST02662,New,East,Marketplace,Clothing,T-Shirt,148.8,5,0,0.0,744.0,0.0,744.0,Crypto,Delivered,3.6,2024,3,1,Mar,Monday,False,False,260.4,$500-1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000072,2023-08-12,CUST00932,Premium,West,Social Media,Beauty & Personal Care,Lipstick,131.5,1,0,0.0,131.5,0.0,131.5,Credit Card,Delivered,4.4,2023,8,3,Aug,Saturday,True,False,46.02,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000073,2024-06-01,CUST00597,New,West,Mobile App,Electronics,Laptop,844.72,1,0,0.0,844.72,0.0,844.72,Debit Card,Delivered,3.2,2024,6,2,Jun,Saturday,True,False,295.65,$500-1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000074,2023-06-05,CUST01883,New,North,Marketplace,Books,Science,57.19,1,10,5.72,51.47,5.8,57.27,Bank Transfer,Cancelled,2.7,2023,6,2,Jun,Monday,False,False,18.01,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000075,2024-05-18,CUST02828,New,East,Website,Clothing,T-Shirt,140.89,1,10,14.09,126.8,0.0,126.8,Bank Transfer,Cancelled,1.3,2024,5,2,May,Saturday,True,False,44.38,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000076,2024-03-21,CUST01125,New,North,Social Media,Books,Science,33.85,1,10,3.38,30.47,0.55,31.02,Bank Transfer,Returned,3.3,2024,3,1,Mar,Thursday,False,False,10.66,<$50,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000077,2023-05-29,CUST02777,Premium,South,Mobile App,Clothing,Sneakers,243.55,1,0,0.0,243.55,0.0,243.55,Credit Card,Delivered,3.9,2023,5,2,May,Monday,False,False,85.24,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000078,2024-04-30,CUST00720,New,Central,Marketplace,Sports & Outdoors,Running Shoes,588.56,1,0,0.0,588.56,0.0,588.56,Paypal,Delivered,4.8,2024,4,2,Apr,Tuesday,False,False,206.0,$500-1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000079,2023-08-28,CUST01388,Premium,West,Social Media,Clothing,Jacket,275.5,4,30,330.6,771.4,0.0,771.4,Debit Card,Returned,1.6,2023,8,3,Aug,Monday,False,False,269.99,$500-1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000080,2022-07-04,CUST01617,New,Central,Website,Beauty & Personal Care,Face Wash,102.79,1,20,20.56,82.23,13.93,96.16,Paypal,Delivered,4.3,2022,7,3,Jul,Monday,False,False,28.78,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000081,2023-04-24,CUST01932,New,Central,Website,Sports & Outdoors,Bicycle,659.71,4,0,0.0,2638.84,0.0,2638.84,Crypto,Delivered,3.1,2023,4,2,Apr,Monday,False,False,923.59,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000082,2023-09-16,CUST02018,New,South,Marketplace,Books,History,29.76,1,0,0.0,29.76,23.66,53.42,Debit Card,Delivered,3.7,2023,9,3,Sep,Saturday,True,False,10.42,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000083,2022-11-13,CUST01700,Returning,West,Mobile App,Beauty & Personal Care,Face Wash,142.17,1,15,21.33,120.84,0.0,120.84,Paypal,Delivered,3.7,2022,11,4,Nov,Sunday,True,True,42.29,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000084,2024-01-23,CUST02231,Vip,East,Website,Books,Biography,76.44,3,0,0.0,229.32,0.0,229.32,Paypal,Delivered,3.2,2024,1,1,Jan,Tuesday,False,False,80.26,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000085,2022-02-13,CUST00208,Premium,South,Social Media,Books,Fiction Novel,55.72,2,10,11.14,100.3,0.0,100.3,Crypto,Delivered,4.7,2022,2,1,Feb,Sunday,True,False,35.1,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000086,2022-10-30,CUST02442,New,South,Social Media,Sports & Outdoors,Dumbbells,473.24,3,0,0.0,1419.72,0.0,1419.72,Crypto,Delivered,3.3,2022,10,4,Oct,Sunday,True,True,496.9,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000087,2022-02-02,CUST00714,New,South,Mobile App,Beauty & Personal Care,Moisturizer,24.11,1,15,3.62,20.49,14.72,35.21,Crypto,Delivered,3.1,2022,2,1,Feb,Wednesday,False,False,7.17,<$50,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000088,2022-03-30,CUST02979,Premium,Central,Website,Books,Textbook,44.95,1,5,2.25,42.7,23.64,66.34,Credit Card,Delivered,4.0,2022,3,1,Mar,Wednesday,False,False,14.94,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000089,2022-06-15,CUST01320,Returning,North,Website,Books,Biography,57.4,1,25,14.35,43.05,1.84,44.89,Crypto,Delivered,4.1,2022,6,2,Jun,Wednesday,False,False,15.07,<$50,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000090,2024-05-31,CUST00407,Premium,North,Marketplace,Home & Kitchen,Bed Sheets,497.42,2,5,49.74,945.1,0.0,945.1,Crypto,Delivered,3.4,2024,5,2,May,Friday,False,False,330.78,$500-1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000091,2022-07-14,CUST01281,Returning,East,Website,Books,Self-Help,37.79,3,0,0.0,113.37,0.0,113.37,Debit Card,Delivered,3.9,2022,7,3,Jul,Thursday,False,False,39.68,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000092,2024-02-03,CUST00533,Returning,Central,Social Media,Electronics,Speaker,259.14,1,15,38.87,220.27,0.0,220.27,Crypto,Delivered,3.2,2024,2,1,Feb,Saturday,True,False,77.09,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000093,2022-04-16,CUST01179,Returning,East,Website,Home & Kitchen,Air Fryer,471.74,1,25,117.94,353.8,0.0,353.8,Crypto,Delivered,4.3,2022,4,2,Apr,Saturday,True,False,123.83,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000094,2023-07-25,CUST02352,New,West,Marketplace,Clothing,Hoodie,45.84,3,0,0.0,137.52,0.0,137.52,Crypto,Delivered,4.3,2023,7,3,Jul,Tuesday,False,False,48.13,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000095,2023-01-05,CUST01120,Premium,East,Social Media,Electronics,Smart Watch,2326.26,3,0,0.0,6978.78,0.0,6978.78,Paypal,Delivered,4.7,2023,1,1,Jan,Thursday,False,False,2442.57,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000096,2022-03-04,CUST00376,Premium,South,Website,Sports & Outdoors,Backpack,326.62,1,10,32.66,293.96,0.0,293.96,Bank Transfer,Delivered,3.7,2022,3,1,Mar,Friday,False,False,102.89,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000097,2022-04-18,CUST00638,New,Central,Website,Beauty & Personal Care,Perfume,117.64,2,0,0.0,235.28,0.0,235.28,Credit Card,Delivered,4.3,2022,4,2,Apr,Monday,False,False,82.35,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
