order_id,order_date,customer_id,customer_segment,region,sales_channel,category,product_name,unit_price,quantity,discount_pct,discount_amount,revenue,shipping_cost,total_amount,payment_method,order_status,customer_rating
ORD000032,2023-09-08,CUST02078,Returning,West,Website,Beauty & Personal Care,Perfume,95.36,2,0,0.0,190.72,0.0,190.72,PayPal,Delivered,3.4
ORD000033,2023-09-09,CUST01664,Returning,North,Website,Beauty & Personal Care,Lipstick,103.21,4,10,41.28,371.56,0.0,371.56,Debit Card,Delivered,4.2
ORD000034,2022-12-14,CUST02699,New,Central,Mobile App,Beauty & Personal Care,Perfume,72.42,1,0,0.0,72.42,11.83,84.25,Crypto,Delivered,4.6
ORD000035,2022-04-05,CUST01003,VIP,Central,Marketplace,Clothing,Boots,103.47,3,0,0.0,310.41,0.0,310.41,Credit Card,Delivered,4.8
ORD000036,2022-10-30,CUST02688,Returning,North,Marketplace,Sports & Outdoors,Dumbbells,577.49,1,0,0.0,577.49,0.0,577.49,Debit Card,Delivered,4.9
ORD000037,2024-08-09,CUST02735,Returning,Central,Mobile App,Sports & Outdoors,Bicycle,49.67,1,20,9.93,39.74,11.41,51.15,Bank Transfer,Delivered,4.4
ORD000038,2024-08-30,CUST01844,New,South,Marketplace,Sports & Outdoors,Bicycle,666.15,2,20,266.46,1065.84,0.0,1065.84,PayPal,Returned,2.3
ORD000039,2023-10-17,CUST02213,New,South,Website,Beauty & Personal Care,Shampoo,44.82,1,0,0.0,44.82,6.79,51.61,Debit Card,Delivered,3.1
ORD000040,2022-02-10,CUST02359,Returning,North,Social Media,Books,Textbook,47.07,1,0,0.0,47.07,10.5,57.57,PayPal,Returned,3.1
ORD000041,2023-03-28,CUST02000,New,West,Mobile App,Books,Science,61.82,2,10,12.36,111.28,0.0,111.28,Bank Transfer,Delivered,4.4
ORD000042,2022-02-25,CUST01614,Returning,North,Website,Books,History,19.88,1,0,0.0,19.88,15.56,35.44,Bank Transfer,Delivered,3.9
ORD000043,2024-02-16,CUST01140,Premium,West,Website,Electronics,Tablet,978.8,1,0,0.0,978.8,0.0,978.8,Credit Card,Delivered,4.5
ORD000044,2022-03-24,CUST00128,VIP,South,Marketplace,Electronics,Tablet,599.34,1,30,179.8,419.54,0.0,419.54,Crypto,Delivered,3.3
ORD000045,2022-12-10,CUST02482,Returning,North,Marketplace,Beauty & Personal Care,Moisturizer,86.78,1,10,8.68,78.1,19.17,97.27,Debit Card,Pending,1.3
ORD000046,2023-02-11,CUST00312,Returning,South,Website,Electronics,Tablet,1460.7,4,0,0.0,5842.8,0.0,5842.8,PayPal,Cancelled,2.5
ORD000047,2024-05-27,CUST02710,Returning,Central,Mobile App,Electronics,Speaker,2460.42,3,0,0.0,7381.26,0.0,7381.26,Credit Card,Returned,3.1
ORD000048,2022-11-10,CUST01784,New,Central,Social Media,Electronics,Headphones,2403.93,2,20,961.57,3846.29,0.0,3846.29,PayPal,Delivered,4.8
ORD000049,2022-06-27,CUST01143,Premium,South,Marketplace,Books,Biography,39.36,2,0,0.0,78.72,21.29,100.01,Crypto,Delivered,3.8
ORD000050,2023-06-14,CUST01395,New,Central,Mobile App,Electronics,Headphones,2134.83,1,0,0.0,2134.83,0.0,2134.83,PayPal,Delivered,4.0
ORD000051,2024-09-02,CUST02646,Premium,West,Marketplace,Clothing,T-Shirt,83.79,1,10,8.38,75.41,6.01,81.42,Credit Card,Delivered,3.8
ORD000052,2023-12-06,CUST01743,VIP,Central,Website,Clothing,Jacket,204.23,1,10,20.42,183.81,0.0,183.81,Bank Transfer,Delivered,3.5
ORD000053,2023-01-15,CUST00785,New,West,Website,Electronics,Camera,521.83,1,5,26.09,495.74,0.0,495.74,Crypto,Pending,2.3
ORD000054,2023-09-12,CUST00058,Premium,South,Website,Home & Kitchen,Blender,419.66,1,0,0.0,419.66,0.0,419.66,Credit Card,Delivered,4.4
ORD000055,2023-08-06,CUST01923,Returning,East,Website,Clothing,Boots,262.51,1,20,52.5,210.01,0.0,210.01,Credit Card,Delivered,4.7
ORD000056,2022-04-20,CUST00622,New,Central,Social Media,Electronics,Speaker,210.09,1,10,21.01,189.08,0.0,189.08,Credit Card,Pending,1.3
ORD000057,2024-06-25,CUST01218,Premium,West,Website,Books,Science,50.92,2,15,15.28,86.56,9.51,96.07,Crypto,Delivered,4.9
ORD000058,2022-11-18,CUST00983,New,North,Website,Electronics,Speaker,559.08,1,10,55.91,503.17,0.0,503.17,Bank Transfer,Delivered,4.2
ORD000059,2024-07-18,CUST00292,Returning,East,Marketplace,Home & Kitchen,Blender,131.11,2,15,39.33,222.89,0.0,222.89,Crypto,Delivered,4.9
ORD000060,2022-05-27,CUST00245,New,East,Mobile App,Books,Fiction Novel,47.21,2,25,23.61,70.81,20.67,91.48,Crypto,Cancelled,2.1
ORD000061,2024-06-15,CUST00330,Returning,West,Mobile App,Books,History,29.89,1,0,0.0,29.89,13.5,43.39,Crypto,Delivered,3.2
ORD000062,2022-03-24,CUST00718,Returning,West,Social Media,Beauty & Personal Care,Sunscreen,90.13,1,15,13.52,76.61,20.54,97.15,Debit Card,Pending,2.1
ORD000063,2022-11-26,CUST01351,Returning,West,Website,Books,Fiction Novel,41.84,1,0,0.0,41.84,2.61,44.45,Bank Transfer,Returned,2.4
ORD000064,2024-11-19,CUST00005,Returning,Central,Mobile App,Books,Fiction Novel,30.65,1,30,9.2,21.45,10.1,31.55,Credit Card,Delivered,3.7
ORD000065,2023-08-13,CUST01795,Premium,West,Website,Books,History,39.83,1,0,0.0,39.83,3.28,43.11,Crypto,Returned,2.8
ORD000066,2022-08-21,CUST01891,VIP,South,Mobile App,Home & Kitchen,Cookware Set,26.56,1,0,0.0,26.56,21.04,47.6,PayPal,Delivered,3.5
ORD000067,2024-11-06,CUST00560,Premium,East,Marketplace,Books,Biography,25.55,2,0,0.0,51.1,23.05,74.15,Bank Transfer,Delivered,4.6
ORD000068,2024-09-29,CUST00609,Returning,West,Website,Home & Kitchen,Blender,155.76,1,10,15.58,140.18,0.0,140.18,Crypto,Returned,1.9
ORD000069,2024-04-21,CUST00179,Returning,West,Mobile App,Home & Kitchen,Coffee Maker,490.77,1,0,0.0,490.77,0.0,490.77,Bank Transfer,Delivered,4.3
ORD000070,2022-07-25,CUST01804,New,West,Website,Beauty & Personal Care,Shampoo,76.82,1,5,3.84,72.98,14.75,87.73,Debit Card,Delivered,4.3
ORD000071,2024-03-25,CUST02662,New,East,Marketplace,Clothing,T-Shirt,148.8,5,0,0.0,744.0,0.0,744.0,Crypto,Delivered,3.6
ORD000072,2023-08-12,CUST00932,Premium,West,Social Media,Beauty & Personal Care,Lipstick,131.5,1,0,0.0,131.5,0.0,131.5,Credit Card,Delivered,4.4
ORD000073,2024-06-01,CUST00597,New,West,Mobile App,Electronics,Laptop,844.72,1,0,0.0,844.72,0.0,844.72,Debit Card,Delivered,3.2
ORD000074,2023-06-05,CUST01883,New,North,Marketplace,Books,Science,57.19,1,10,5.72,51.47,5.8,57.27,Bank Transfer,Cancelled,2.7
ORD000075,2024-05-18,CUST02828,New,East,Website,Clothing,T-Shirt,140.89,1,10,14.09,126.8,0.0,126.8,Bank Transfer,Cancelled,1.3
ORD000076,2024-03-21,CUST01125,New,North,Social Media,Books,Science,33.85,1,10,3.38,30.47,0.55,31.02,Bank Transfer,Returned,3.3
ORD000077,2023-05-29,CUST02777,Premium,South,Mobile App,Clothing,Sneakers,243.55,1,0,0.0,243.55,0.0,243.55,Credit Card,Delivered,3.9
ORD000078,2024-04-30,CUST00720,New,Central,Marketplace,Sports & Outdoors,Running Shoes,588.56,1,0,0.0,588.56,0.0,588.56,PayPal,Delivered,4.8
ORD000079,2023-08-28,CUST01388,Premium,West,Social Media,Clothing,Jacket,275.5,4,30,330.6,771.4,0.0,771.4,Debit Card,Returned,1.6
ORD000080,2022-07-04,CUST01617,New,Central,Website,Beauty & Personal Care,Face Wash,102.79,1,20,20.56,82.23,13.93,96.16,PayPal,Delivered,4.3
ORD000081,2023-04-24,CUST01932,New,Central,Website,Sports & Outdoors,Bicycle,659.71,4,0,0.0,2638.84,0.0,2638.84,Crypto,Delivered,3.1
ORD000082,2023-09-16,CUST02018,New,South,Marketplace,Books,History,29.76,1,0,0.0,29.76,23.66,53.42,Debit Card,Delivered,3.7
ORD000083,2022-11-13,CUST01700,Returning,West,Mobile App,Beauty & Personal Care,Face Wash,142.17,1,15,21.33,120.84,0.0,120.84,PayPal,Delivered,3.7
ORD000084,2024-01-23,CUST02231,VIP,East,Website,Books,Biography,76.44,3,0,0.0,229.32,0.0,229.32,PayPal,Delivered,3.2
ORD000085,2022-02-13,CUST00208,Premium,South,Social Media,Books,Fiction Novel,55.72,2,10,11.14,100.3,0.0,100.3,Crypto,Delivered,4.7
ORD000086,2022-10-30,CUST02442,New,South,Social Media,Sports & Outdoors,Dumbbells,473.24,3,0,0.0,1419.72,0.0,1419.72,Crypto,Delivered,3.3
ORD000087,2022-02-02,CUST00714,New,South,Mobile App,Beauty & Personal Care,Moisturizer,24.11,1,15,3.62,20.49,14.72,35.21,Crypto,Delivered,3.1
ORD000088,2022-03-30,CUST02979,Premium,Central,Website,Books,Textbook,44.95,1,5,2.25,42.7,23.64,66.34,Credit Card,Delivered,4.0
ORD000089,2022-06-15,CUST01320,Returning,North,Website,Books,Biography,57.4,1,25,14.35,43.05,1.84,44.89,Crypto,Delivered,4.1
ORD000090,2024-05-31,CUST00407,Premium,North,Marketplace,Home & Kitchen,Bed Sheets,497.42,2,5,49.74,945.1,0.0,945.1,Crypto,Delivered,3.4
ORD000091,2022-07-14,CUST01281,Returning,East,Website,Books,Self-Help,37.79,3,0,0.0,113.37,0.0,113.37,Debit Card,Delivered,3.9
ORD000092,2024-02-03,CUST00533,Returning,Central,Social Media,Electronics,Speaker,259.14,1,15,38.87,220.27,0.0,220.27,Crypto,Delivered,3.2
ORD000093,2022-04-16,CUST01179,Returning,East,Website,Home & Kitchen,Air Fryer,471.74,1,25,117.94,353.8,0.0,353.8,Crypto,Delivered,4.3
ORD000094,2023-07-25,CUST02352,New,West,Marketplace,Clothing,Hoodie,45.84,3,0,0.0,137.52,0.0,137.52,Crypto,Delivered,4.3
ORD000095,2023-01-05,CUST01120,Premium,East,Social Media,Electronics,Smart Watch,2326.26,3,0,0.0,6978.78,0.0,6978.78,PayPal,Delivered,4.7
ORD000096,2022-03-04,CUST00376,Premium,South,Website,Sports & Outdoors,Backpack,326.62,1,10,32.66,293.96,0.0,293.96,Bank Transfer,Delivered,3.7
ORD000097,2022-04-18,CUST00638,New,Central,Website,Beauty & Personal Care,Perfume,117.64,2,0,0.0,235.28,0.0,235.28,Credit Card,Delivered,4.3
ORD000098,2024-05-30,CUST00455,New,Central,Mobile App,Books,Science,39.83,1,15,5.97,33.86,2.85,36.71,PayPal,Delivered,3.8
ORD000099,2023-06-08,CUST01186,Returning,North,Mobile App,Sports & Outdoors,Yoga Mat,16.07,1,0,0.0,16.07,3.43,19.5,Bank Transfer,Delivered,3.8
ORD000100,2022-05-28,CUST01627,Premium,North,Mobile App,Beauty & Personal Care,Shampoo,77.54,3,20,46.52,186.1,0.0,186.1,Bank Transfer,Cancelled,3.2
ORD000101,2022-08-24,CUST01660,New,East,Website,Sports & Outdoors,Bicycle,462.99,2,5,46.3,879.68,0.0,879.68,Crypto,Delivered,4.4
ORD000102,2024-03-31,CUST02147,New,East,Mobile App,Home & Kitchen,Blender,229.62,1,5,11.48,218.14,0.0,218.14,Debit Card,Delivered,3.3
ORD000103,2023-12-17,CUST01439,Premium,South,Website,Sports & Outdoors,Backpack,100.08,2,25,50.04,150.12,0.0,150.12,Debit Card,Delivered,3.3
ORD000104,2024-10-08,CUST01901,Premium,Central,Mobile App,Clothing,Hoodie,231.36,1,30,69.41,161.95,0.0,161.95,Crypto,Delivered,5.0
ORD000105,2023-09-13,CUST01126,Returning,East,Mobile App,Home & Kitchen,Air Fryer,171.75,1,5,8.59,163.16,0.0,163.16,PayPal,Delivered,3.1
ORD000106,2024-11-04,CUST01575,Returning,Central,Social Media,Home & Kitchen,Vacuum Cleaner,56.83,3,20,34.1,136.39,0.0,136.39,Credit Card,Delivered,4.6
ORD000107,2022-07-31,CUST01407,VIP,North,Mobile App,Beauty & Personal Care,Shampoo,51.62,1,0,0.0,51.62,1.55,53.17,Debit Card,Delivered,4.4
ORD000108,2024-04-17,CUST01386,Returning,North,Marketplace,Books,Science,45.64,1,0,0.0,45.64,7.07,52.71,PayPal,Delivered,3.2
ORD000109,2022-11-04,CUST01366,New,South,Social Media,Beauty & Personal Care,Lipstick,46.2,2,10,9.24,83.16,22.66,105.82,PayPal,Pending,2.7
ORD000110,2024-02-11,CUST02636,Premium,South,Mobile App,Books,Self-Help,50.84,4,0,0.0,203.36,0.0,203.36,Crypto,Delivered,4.3
ORD000111,2024-09-22,CUST00787,New,South,Website,Sports & Outdoors,Running Shoes,24.4,1,30,7.32,17.08,8.54,25.62,PayPal,Returned,1.3
ORD000112,2022-09-26,CUST02447,Returning,South,Website,Sports & Outdoors,Backpack,708.11,1,0,0.0,708.11,0.0,708.11,Crypto,Returned,1.4
ORD000113,2023-08-07,CUST01839,New,South,Website,Books,Fiction Novel,37.58,2,0,0.0,75.16,11.1,86.26,Bank Transfer,Cancelled,1.5
ORD000114,2024-02-22,CUST02060,Returning,South,Marketplace,Beauty & Personal Care,Sunscreen,147.74,1,0,0.0,147.74,0.0,147.74,Crypto,Delivered,3.5
ORD000115,2024-11-22,CUST00511,New,South,Website,Beauty & Personal Care,Lipstick,131.75,2,0,0.0,263.5,0.0,263.5,Crypto,Delivered,3.9
ORD000116,2022-04-20,CUST01624,Returning,South,Website,Clothing,Hoodie,143.57,1,0,0.0,143.57,0.0,143.57,Credit Card,Delivered,3.1
ORD000117,2022-03-20,CUST01176,VIP,West,Mobile App,Electronics,Speaker,1801.03,1,0,0.0,1801.03,0.0,1801.03,Debit Card,Returned,2.2
ORD000118,2022-11-03,CUST02248,VIP,Central,Mobile App,Sports & Outdoors,Yoga Mat,725.63,1,0,0.0,725.63,0.0,725.63,Credit Card,Returned,1.6
ORD000119,2022-05-09,CUST00455,Premium,West,Mobile App,Electronics,Laptop,634.18,2,10,126.84,1141.52,0.0,1141.52,Credit Card,Delivered,4.2
ORD000120,2023-01-19,CUST02722,Returning,Central,Social Media,Beauty & Personal Care,Shampoo,47.23,1,0,0.0,47.23,14.27,61.5,Credit Card,Pending,2.4
ORD000121,2024-03-03,CUST01530,New,North,Website,Sports & Outdoors,Tent,26.06,4,0,0.0,104.24,0.0,104.24,Credit Card,Delivered,4.5
ORD000122,2022-04-01,CUST01444,Returning,South,Marketplace,Beauty & Personal Care,Moisturizer,116.87,2,0,0.0,233.74,0.0,233.74,Bank Transfer,Pending,2.2
ORD000123,2023-02-17,CUST00180,Premium,North,Website,Clothing,Hoodie,53.43,2,25,26.71,80.15,0.92,81.07,PayPal,Delivered,5.0
ORD000124,2024-01-02,CUST00196,Premium,East,Website,Sports & Outdoors,Bicycle,210.12,3,0,0.0,630.36,0.0,630.36,PayPal,Delivered,3.8
ORD000125,2024-11-29,CUST01093,Premium,West,Website,Books,Biography,32.41,1,10,3.24,29.17,9.18,38.35,Crypto,Pending,1.5
ORD000126,2024-05-22,CUST00683,Returning,East,Mobile App,Home & Kitchen,Vacuum Cleaner,69.25,1,0,0.0,69.25,11.15,80.4,PayPal,Delivered,3.9
ORD000127,2022-11-24,CUST00128,New,Central,Mobile App,Beauty & Personal Care,Moisturizer,15.88,2,0,0.0,31.76,20.03,51.79,Bank Transfer,Delivered,3.1
ORD000128,2022-11-11,CUST02782,Returning,East,Website,Beauty & Personal Care,Perfume,57.51,4,0,0.0,230.04,0.0,230.04,Credit Card,Delivered,4.1
ORD000129,2024-10-19,CUST02121,Returning,Central,Website,Books,Textbook,54.77,1,0,0.0,54.77,18.39,73.16,PayPal,Delivered,3.4
ORD000130,2022-10-05,CUST00304,Returning,West,Social Media,Sports & Outdoors,Running Shoes,558.24,5,0,0.0,2791.2,0.0,2791.2,PayPal,Delivered,4.4
ORD000131,2022-12-23,CUST01481,Returning,North,Social Media,Sports & Outdoors,Tent,239.39,1,0,0.0,239.39,0.0,239.39,Debit Card,Delivered,4.0
ORD000132,2022-09-23,CUST02507,Premium,North,Website,Home & Kitchen,Cookware Set,294.69,1,30,88.41,206.28,0.0,206.28,Bank Transfer,Delivered,4.5
ORD000133,2024-08-12,CUST02786,Returning,South,Marketplace,Sports & Outdoors,Yoga Mat,109.01,1,0,0.0,109.01,0.0,109.01,Crypto,Delivered,3.4
ORD000134,2024-11-27,CUST00627,Returning,South,Website,Clothing,Dress,158.32,3,20,94.99,379.97,0.0,379.97,Debit Card,Delivered,4.9
ORD000135,2022-09-14,CUST02561,Returning,Central,Website,Home & Kitchen,Blender,140.29,2,10,28.06,252.52,0.0,252.52,Debit Card,Delivered,4.2
ORD000136,2022-03-26,CUST00117,New,Central,Website,Clothing,Boots,192.98,4,0,0.0,771.92,0.0,771.92,Debit Card,Returned,2.0
ORD000137,2023-09-11,CUST01979,New,West,Website,Beauty & Personal Care,Moisturizer,77.22,2,0,0.0,154.44,0.0,154.44,Credit Card,Delivered,3.3
ORD000138,2023-10-16,CUST01415,VIP,South,Marketplace,Books,Biography,41.44,1,0,0.0,41.44,21.54,62.98,Crypto,Delivered,3.6
ORD000139,2024-02-26,CUST02521,Returning,South,Marketplace,Books,Fiction Novel,27.26,1,0,0.0,27.26,7.26,34.52,Crypto,Delivered,3.4
ORD000140,2024-10-15,CUST00095,New,West,Mobile App,Clothing,Dress,298.85,1,20,59.77,239.08,0.0,239.08,Debit Card,Delivered,3.7
ORD000141,2024-08-21,CUST01171,Returning,North,Mobile App,Electronics,Tablet,1262.49,4,10,505.0,4544.96,0.0,4544.96,PayPal,Delivered,4.5
ORD000142,2023-08-15,CUST00302,Returning,West,Marketplace,Home & Kitchen,Blender,212.28,2,0,0.0,424.56,0.0,424.56,PayPal,Returned,2.6
ORD000143,2023-11-26,CUST02285,VIP,South,Website,Sports & Outdoors,Yoga Mat,111.64,1,0,0.0,111.64,0.0,111.64,Crypto,Delivered,3.1
ORD000144,2022-11-02,CUST02484,Premium,South,Website,Electronics,Smartphone,1798.3,3,5,269.75,5125.15,0.0,5125.15,Crypto,Delivered,3.8
ORD000145,2024-11-09,CUST02181,Returning,Central,Website,Sports & Outdoors,Backpack,675.66,2,5,67.57,1283.75,0.0,1283.75,Credit Card,Delivered,4.3
ORD000146,2024-08-29,CUST01088,VIP,Central,Mobile App,Books,Science,30.15,4,20,24.12,96.48,15.73,112.21,Credit Card,Delivered,3.3
ORD000147,2023-05-12,CUST00130,Returning,North,Website,Beauty & Personal Care,Face Wash,94.86,3,0,0.0,284.58,0.0,284.58,Bank Transfer,Delivered,3.3
ORD000148,2022-05-08,CUST02891,New,South,Mobile App,Beauty & Personal Care,Shampoo,64.5,3,25,48.38,145.12,0.0,145.12,Bank Transfer,Delivered,3.6
ORD000149,2023-06-26,CUST02499,Returning,South,Website,Clothing,Dress,274.96,1,0,0.0,274.96,0.0,274.96,PayPal,Delivered,4.9
ORD000150,2024-09-09,CUST01429,Returning,East,Website,Home & Kitchen,Vacuum Cleaner,358.35,2,5,35.84,680.86,0.0,680.86,Crypto,Delivered,3.8
ORD000151,2023-08-13,CUST02926,New,West,Mobile App,Books,Textbook,76.73,3,0,0.0,230.19,0.0,230.19,Bank Transfer,Delivered,4.7
ORD000152,2023-05-06,CUST00994,New,Central,Website,Home & Kitchen,Cookware Set,354.16,1,10,35.42,318.74,0.0,318.74,Debit Card,Delivered,3.8
ORD000153,2022-11-20,CUST01667,Returning,West,Mobile App,Beauty & Personal Care,Lipstick,19.58,3,0,0.0,58.74,13.76,72.5,Debit Card,Returned,1.7
ORD000154,2023-04-21,CUST02192,Premium,North,Social Media,Home & Kitchen,Air Fryer,48.4,3,10,14.52,130.68,0.0,130.68,Debit Card,Delivered,4.7
ORD000155,2023-08-16,CUST00154,New,Central,Mobile App,Electronics,Speaker,1022.64,1,25,255.66,766.98,0.0,766.98,PayPal,Delivered,5.0
ORD000156,2024-08-16,CUST01118,New,North,Website,Sports & Outdoors,Tent,400.19,4,20,320.15,1280.61,0.0,1280.61,Bank Transfer,Delivered,4.4
ORD000157,2023-01-31,CUST00719,Returning,West,Marketplace,Electronics,Camera,875.92,1,10,87.59,788.33,0.0,788.33,Crypto,Delivered,3.8
ORD000158,2022-01-14,CUST01069,Returning,West,Marketplace,Electronics,Smartphone,2455.13,1,25,613.78,1841.35,0.0,1841.35,PayPal,Delivered,4.4
ORD000159,2022-08-31,CUST01907,Returning,West,Mobile App,Electronics,Tablet,1651.52,2,0,0.0,3303.04,0.0,3303.04,PayPal,Delivered,4.3
ORD000160,2022-11-10,CUST01864,Premium,Central,Website,Home & Kitchen,Vacuum Cleaner,315.02,1,0,0.0,315.02,0.0,315.02,Crypto,Cancelled,2.9
ORD000161,2022-06-17,CUST02153,Returning,East,Website,Beauty & Personal Care,Shampoo,115.47,2,10,23.09,207.85,0.0,207.85,Crypto,Delivered,4.7
ORD000162,2024-12-01,CUST01810,New,South,Mobile App,Sports & Outdoors,Dumbbells,462.43,1,0,0.0,462.43,0.0,462.43,Bank Transfer,Delivered,4.0
ORD000163,2024-08-04,CUST02756,Premium,North,Website,Electronics,Headphones,373.26,1,10,37.33,335.93,0.0,335.93,Credit Card,Delivered,4.2
ORD000164,2022-05-22,CUST01934,New,West,Website,Electronics,Headphones,894.1,1,30,268.23,625.87,0.0,625.87,Debit Card,Returned,3.4
ORD000165,2024-02-13,CUST01539,New,Central,Website,Beauty & Personal Care,Lipstick,59.3,4,5,11.86,225.34,0.0,225.34,PayPal,Delivered,5.0
ORD000166,2023-09-04,CUST01897,Returning,Central,Mobile App,Books,Science,17.17,5,20,17.17,68.68,18.9,87.58,Bank Transfer,Returned,1.6
ORD000167,2022-08-20,CUST00132,Premium,West,Mobile App,Home & Kitchen,Coffee Maker,152.31,4,15,91.39,517.85,0.0,517.85,Credit Card,Delivered,3.1
ORD000168,2023-05-17,CUST00182,Returning,South,Mobile App,Sports & Outdoors,Yoga Mat,362.69,2,20,145.08,580.3,0.0,580.3,Credit Card,Delivered,5.0
ORD000169,2023-10-19,CUST00971,Returning,South,Social Media,Clothing,Hoodie,276.17,2,10,55.23,497.11,0.0,497.11,Crypto,Delivered,3.6
ORD000170,2024-05-24,CUST02277,Returning,East,Social Media,Electronics,Smart Watch,2373.87,4,25,2373.87,7121.61,0.0,7121.61,Bank Transfer,Returned,1.8
